ID,NAME,YEAR,MONTH,LAT,LONG,MAX WIND,MIN PRESSURE,CATEGORY
1,UNNAMED_0,1949,06,20.2,-106.3,45,-999,0
2,UNNAMED_0,1949,06,20.2,-106.4,45,-999,0
3,UNNAMED_0,1949,06,20.2,-106.7,45,-999,0
4,UNNAMED_0,1949,06,20.3,-107.7,45,-999,0
5,UNNAMED_0,1949,06,20.4,-108.6,45,-999,0
6,UNNAMED_0,1949,06,20.5,-109.4,45,-999,0
7,UNNAMED_0,1949,06,20.6,-110.2,45,-999,0
9,UNNAMED_1,1949,06,14.1,-107.0,45,-999,0
10,UNNAMED_1,1949,06,14.6,-107.7,45,-999,0
11,UNNAMED_1,1949,06,15.0,-108.4,45,-999,0
12,UNNAMED_1,1949,06,15.4,-109.2,45,-999,0
13,UNNAMED_1,1949,06,15.7,-110.0,45,-999,0
14,UNNAMED_1,1949,06,16.0,-110.8,45,-999,0
15,UNNAMED_1,1949,06,16.3,-111.6,45,-999,0
16,UNNAMED_1,1949,06,16.7,-112.3,45,-999,0
17,UNNAMED_1,1949,06,17.1,-112.9,45,-999,0
18,UNNAMED_1,1949,06,17.5,-113.5,45,-999,0
19,UNNAMED_1,1949,06,18.0,-114.1,45,-999,0
20,UNNAMED_1,1949,06,18.4,-114.6,45,-999,0
21,UNNAMED_1,1949,06,18.9,-115.1,45,-999,0
22,UNNAMED_1,1949,06,19.4,-115.6,45,-999,0
23,UNNAMED_1,1949,06,19.9,-116.0,45,-999,0
24,UNNAMED_1,1949,06,20.4,-116.4,45,-999,0
25,UNNAMED_1,1949,06,21.0,-116.7,45,-999,0
26,UNNAMED_1,1949,06,21.5,-117.1,45,-999,0
27,UNNAMED_1,1949,06,22.0,-117.5,45,-999,0
28,UNNAMED_1,1949,06,22.5,-117.8,45,-999,0
29,UNNAMED_1,1949,06,23.1,-118.0,45,-999,0
30,UNNAMED_1,1949,06,23.9,-118.0,45,-999,0
31,UNNAMED_1,1949,06,24.7,-117.7,45,-999,0
32,UNNAMED_1,1949,06,25.4,-117.4,45,-999,0
33,UNNAMED_1,1949,06,26.0,-117.0,45,-999,0
35,UNNAMED_2,1949,09,17.3,-106.3,45,-999,0
36,UNNAMED_2,1949,09,17.6,-106.6,45,-999,0
37,UNNAMED_2,1949,09,17.9,-106.8,45,-999,0
38,UNNAMED_2,1949,09,18.4,-106.8,45,-999,0
39,UNNAMED_2,1949,09,18.8,-106.9,45,-999,0
40,UNNAMED_2,1949,09,18.9,-106.9,45,-999,0
41,UNNAMED_2,1949,09,19.0,-107.0,45,-999,0
42,UNNAMED_2,1949,09,19.0,-107.1,45,-999,0
43,UNNAMED_2,1949,09,19.1,-107.2,45,-999,0
44,UNNAMED_2,1949,09,19.6,-107.9,45,-999,0
45,UNNAMED_2,1949,09,20.2,-108.8,45,-999,0
